Publication Number,B60K6_48,Y02T10_6221,B60K6_387,B60K6_405,B60K2006_4825,Y02T10_6252,B60K6_42,B60K6_02,B60K6_26,B60K6_365,B60K6_547,B60K17_02,B60K6_40,B60K6_485,H02K7_108,H02K51_00,Y10S903_902,F16H3_66,F16D25_0638,H02K7_006
JP2011213230A,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JP6269073B2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JP2008196654A,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JP6080207B2,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JP2013067253A,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JP2014062539A,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JP2014113890A,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JP3842457B2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
JP2002120569A,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
US10174795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US10316960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US5593016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US7862465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
DE20320469U1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US7258217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US9719579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US7731624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US5106348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US8002663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
EP1658453B2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US4958753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
DE102017210613A1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE102017130421A1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DE102017116341A1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US10081239,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
US20030078126A1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
US6278195,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
US7344464,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
CN107839466A,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
DE102015219870A1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
JP3618901B2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DE102017103021A1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
US20180334038A1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
CN107234961A,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
US8292011,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
US9982723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
EP1646810B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
DE20320468U1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US10221923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US7104381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US10385931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
JP2001234840A,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
WO2008056067A1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
FR3072632A1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
US7201690,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US5267807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US3983617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US7011199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
DE102013211031A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US9347502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US4614259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US9945428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US3236349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
US7976428,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
US7276007,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
DE102016216314A1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
CN106838032A,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
JP3833835B2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
JP3621916B2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
US8100803,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
WO2008075130A1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
US9956951,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
DE102016206897A1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
US7911161,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
DE102017206587A1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US20110061954A1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
CN110234529A,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
US7596893,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
US9481357,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
US10112603,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JP3289562B2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP2001298806A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP2002021998A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP3149785B2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP2002017003A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
US8505659,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
DE102016101063A1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
JP3833836B2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
US9994214,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9085228,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US7798938,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US5052987,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US8909399,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
EP1427599B1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WO2004024735A3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9932040,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US10001206,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108725176A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108626323A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108116218A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US10214218,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US10204729,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US20170305256A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WO2018172154A1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
JP3097559B2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP2013199183A,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DE102008008167A1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
US20190291563A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US20180313439A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9296289,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN109693530A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WO2014046580A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US6852054,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108032726A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9079484,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN109050236A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN106515421A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108656937A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
EP1547840B1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WO2010143030A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US3623568,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
CN109383266A,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
CN106314125A,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
JP5292342B2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
US8676422,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
US20090308673A1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
US8337359,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
US8836181,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
US9321342,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US5980410,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WO2017108304A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US8177671,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108422851A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US6558283,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108001195A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108001197A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US10195931,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108725177A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US8271178,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
JP3291983B2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP2001231109A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP3289536B2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
US8540602,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
US7637336,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
JP3702864B2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DE102017200802A1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
US6811508,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN107323245A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WO2017095299A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US10293806,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9415675,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108674170A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9140337,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9136723,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WO2009106941A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN109203968A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN106864248A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
DE102016101061A1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WO2012060196A1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
CN108001200A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108327515A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN109017267A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US8277360,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9108624,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US6524215,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US10077823,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108263201A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9493154,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9956952,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108001199A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
EP1319546B1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
JP2006306325A,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AT516038B1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
US20190299766A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WO2017095297A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN109017266A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US6581706,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN109606094A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9695929,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108001198A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9487210,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US20060169504A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US20170297556A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108725178A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US20100204862A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US8123654,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US10343508,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
JP2002166735A,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
WO2017215703A1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WO2018224258A1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
JP2003134605A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
DE102007021233A1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
JP5195513B2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
US20170087975A1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
DE102016101059A1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US20180148044A1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
JP5434514B2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JP1999191389A,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
WO2013038943A1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JP2004036815A,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JP2014000870A,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
US8162084,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US8062172,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US6008606,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
JP3551953B2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JP3841102B2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
US8277350,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
US20080169139A1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE102007004458A1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
JP2003284205A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP3528751B2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP2001329917A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP2001169404A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP2003212003A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP3536627B2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
US20180257475A1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DE102010035204A1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
GB2452821B,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
JP2015010668A,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JP2013032032A,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JP2015009691A,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JP2013163462A,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JP5383544B2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
US10012200,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JP2011189799A,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DE102013017691A1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
JP2003087906A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP2003159967A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP2001233044A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP2003102107A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
US20170015309A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN107054049A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US10190669,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US10279798,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US20170291607A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN109080439A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US8251165,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108394264A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US7298104,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9809107,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US7513847,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
DE102017222636A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WO2010012942A3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US10315641,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US7950485,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN207697480U,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
US9376006,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US8714287,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
US7921943,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
JP5171500B2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JP2009120105A,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JP5104368B2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JP4144559B2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
US7650956,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
DE102012024796B4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
JP4915217B2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JP6409363B2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
WO2019149419A1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
DE102017223151A1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
US9933049,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
US9221335,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DE102016207389A1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
US20190003556A1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
JP5417225B2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
WO2007147732A1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US7481733,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
WO2018086858A1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CA2966307A1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
EP1369281A1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
US20020056584A1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
US8241175,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
WO2011111478A1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
US9737949,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
US20170217298A1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
JP2002067743A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP2003174705A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP2002188716A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP2003161364A,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
JP3695269B2,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
US10046755,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9689473,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US6428438,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US7917277,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US10246083,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US7730984,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US8983696,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US20180229597A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108223715A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9649926,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US20150360681A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US10166974,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN109455080A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108790773A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9873421,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US9428179,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
US6806667,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CN108001196A,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
DE102011089712A1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
JP2017075664A,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
US7901320,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US8224535,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
US20180313414A1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
FR3060682B1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
US8180510,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
FR3067314B1,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
